samples,RALA.1,DBN1,KRT80,CHPT1,CHPT1.1,RILPL2,RLN2,PNRC2,PNRC2.1,JAK2.1,STC2.1,IL6ST.4,STXBP3,SEC14L2,SEC14L2.1
GSM2738656,2.23763254,1.33762170777778,0.663178546666667,1.60148353555556,0.716137484444444,1.31717853888889,-0.0065371833333333,2.30546102888889,1.06712979,0.792741618888889,1.91373708555556,1.94325145,1.77715502777778,0.279233532222222,0.146689674444444
GSM2738657,2.16707667555556,1.56650053,0.941451651111111,1.68661053555556,0.518636805555556,0.945087486666667,-0.188636487777778,1.88654259444444,0.629329406666667,0.59298899,0.331113118888889,1.30439543777778,1.78108160666667,-0.137697196666667,-0.215084268888889
GSM2738658,1.81374248777778,1.10240617666667,0.110026055555556,2.72692339555556,1.72353837,1.27246566222222,0.856880203333333,2.66657267444444,1.29401464222222,0.791050494444444,2.77387894888889,2.78879820666667,2.00572552333333,1.60560733333333,1.13740735111111
GSM2738659,2.12911266777778,1.04038234111111,0.0142525755555556,2.09575290888889,0.836934758888889,1.31880789111111,0.152363186666667,2.23386389444444,0.745714633333333,0.889587933333333,0.354701367777778,2.16448272444444,1.89659298,0.159913644444444,-0.0695878477777778
GSM2738660,1.86343711444444,0.717021416666667,0.0226864811111111,2.13734343777778,0.804841287777778,1.16334639777778,0.416905292222222,2.49749607555556,1.15568748666667,0.912846284444444,0.121154226666667,2.20692677888889,1.78751483444444,0.0113903877777778,-0.151011885555556
GSM2738661,2.09905354,0.926284091111111,1.20842105333333,2.48595844888889,1.0010355,1.00553252555556,-0.0837243866666667,2.35586292666667,1.07991491555556,0.54669651,-0.119009647777778,1.23207130222222,1.88532595333333,-0.0117234222222222,-0.122224302222222
GSM2738662,2.06415418,1.79886837666667,1.46370551,2.17412738222222,0.777405502222222,1.27593727333333,-0.0063307544444444,2.22887798333333,0.602650861111111,0.654763177777778,0.72189916,1.59632522333333,1.70111728222222,0.373432427777778,-0.0254922477777778
GSM2738664,2.25743713444444,1.24275325666667,-0.0164297644444444,2.36762350555556,1.01713988888889,1.41720539666667,2.53022206444444,2.66484909555556,1.41377578444444,1.03399988222222,1.83926787555556,3.04367833,2.12288892111111,1.48538473555556,1.28833383555556
GSM2738665,2.52568223111111,1.80085488,0.729336051111111,1.31901219444444,0.236660492222222,0.878047087777778,-0.0810956511111111,2.40382052555556,1.01464342555556,0.949871911111111,0.247853531111111,1.48878143888889,1.81150958888889,0.0225865555555556,-0.14675588
GSM2738666,2.15065241222222,1.26625068111111,0.338090238888889,1.57972951444444,0.468946863333333,1.28119829555556,-0.0475597288888889,2.32642062444444,0.889825255555556,0.766832943333333,0.38508816,1.80912531444444,1.82639911777778,0.107574478888889,-0.0264657344444444
GSM2738667,2.44442444,1.44425900222222,0.636670353333333,0.985243882222222,0.108274521111111,1.06544741888889,-0.10729415,2.13242316777778,0.752931482222222,0.766355711111111,0.343938096666667,1.62960846333333,1.64420669555556,0.0095423844444444,-0.169273367777778
GSM2738668,2.00813858333333,1.12375837777778,0.0250358211111111,3.08969963,1.98401336,0.824876128888889,-0.0625342766666667,2.75776404666667,1.39321057,0.595434665555556,1.71477743444444,2.08527781777778,1.75633576444444,0.805235535555556,0.369494506666667
GSM2738669,2.06353200111111,1.21733698555556,0.319132195555556,3.00360127666667,1.72941583,1.23235704666667,3.38119977555556,2.54138704333333,1.30205917333333,1.10337793333333,3.26357471555556,3.36949955111111,2.11379571555556,1.54343525555556,1.02296742
GSM2738670,2.26011712222222,1.80320122888889,1.31485228888889,2.03829643888889,0.918062314444444,0.750717978888889,0.603340335555556,2.16573648222222,1.08114484666667,0.572042827777778,0.720009104444444,1.24874099777778,2.11669349555556,0.0341360888888889,-0.174159172222222
GSM2738671,2.36080452,1.57502204,0.643653967777778,1.33822481111111,0.410227822222222,0.845066496666667,-0.0339603211111111,2.40674529111111,0.961659021111111,0.979010193333333,0.05284759,1.32262185666667,1.59460357555556,-0.0593422311111111,-0.218746004444444
GSM2738672,2.17571352222222,1.22344673333333,0.61342467,1.69201110111111,0.859494005555556,0.899201235555556,0.388205184444444,2.33476245777778,1.08793709888889,0.551010804444444,0.605614474444444,2.22297738888889,2.02980022444444,0.0467293911111111,-0.0847161088888889
GSM2738673,2.12042283777778,1.11162682888889,0.144351412222222,2.0253191,0.943460048888889,1.06709396,0.275218046666667,2.59755680777778,1.24999994222222,0.60127086,2.24107932333333,2.63831169333333,2.00010687888889,0.361595444444444,0.19886464
GSM2738675,2.19905896333333,0.986329432222222,0.686204717777778,1.73969808222222,0.688225956666667,1.19545345777778,-0.0698753944444444,2.36448168666667,0.917163375555555,0.743633596666667,0.796407517777778,2.00778505333333,1.77245168111111,0.402394973333333,0.308925497777778
GSM2738676,2.32368082666667,0.905775752222222,1.10956818111111,1.70370386666667,0.366545398888889,1.21800124,0.09836997,2.41121934444444,1.07856605666667,0.900516462222222,0.16964545,1.64152437888889,1.83459373444444,0.0483342577777778,-0.159981817777778
GSM2738677,2.12708385888889,1.47437877777778,0.550812968888889,1.89517811444444,0.651465061111111,0.837208493333333,0.189673848888889,2.19500330333333,0.867033514444444,0.768861575555556,0.499779634444444,1.83041003444444,1.8482938,0.531168632222222,0.348770896666667
GSM2738678,2.17095381888889,1.11549916,0.0564948277777778,1.17771300555556,0.291811386666667,1.1316406,0.162337856666667,2.54688698888889,1.04608211,0.541492077777778,0.770932052222222,1.55134677777778,2.02991223555556,-0.0360139877777778,-0.128674174444444
GSM2738679,2.08270507888889,1.17196058666667,0.268457601111111,1.41784462555556,0.503561923333333,1.17358351333333,0.0806602622222222,2.14718758666667,0.703090704444444,0.84313136,0.399044958888889,1.88978533222222,1.59133927555556,0.0886559744444445,-0.0433766611111111
GSM2738682,2.64475167444444,1.16378414444444,0.484282476666667,1.25305278,0.113513874444444,1.20343753555556,-0.0917722833333333,2.32636604111111,0.959139998888889,0.670378688888889,-0.0298920444444444,1.47618445222222,1.92889944555556,-7.05566666666696e-05,-0.15874603
GSM2738683,2.00430212777778,1.32464839555556,0.596681764444444,2.18928576888889,1.02933830666667,1.15110838777778,0.375968054444444,2.08385494777778,0.802586722222222,0.602841908888889,0.120622428888889,2.85719717777778,1.96318064,0.105685311111111,-0.0221780466666667
GSM2738684,2.16878293222222,1.31816025,1.21363656111111,1.54551288,0.34749997,0.928613204444444,-0.17533451,2.44861007444444,1.04888853888889,0.725759296666667,0.629579272222222,1.47044800333333,1.98791903444444,0.103416206666667,-0.0917463966666667
GSM2738685,2.04178623333333,1.46786823111111,0.431179214444444,1.12162457888889,0.216214935555556,1.00202577666667,-0.128119207777778,2.32529839111111,0.9559629,0.618511772222222,0.353101035555556,1.73869096666667,1.45806443555556,0.177204096666667,0.0516864055555556
GSM2738686,2.03526215111111,0.813640952222222,0.171057692222222,1.40028403777778,0.289170313333333,1.04221634,-0.161961961111111,2.27638004111111,1.03165051111111,0.799256014444444,0.145999601111111,1.68855354444444,1.81333994,0.799147002222222,0.556510548888889
GSM2738688,2.04778909888889,1.23739772555556,0.0635841144444445,2.62038403222222,1.41097025444444,1.3322673,1.06952870111111,2.50780412888889,1.11052014,0.623577835555556,1.12924435555556,2.30353415777778,2.08583861666667,0.929210753333333,0.686049665555556
GSM2738690,2.02475301555556,1.31509844777778,0.21408802,2.10516313555556,0.831866713333333,1.27877500888889,-0.116790948888889,2.74068177444444,1.36621101222222,0.780426401111111,-0.0307428022222222,1.53899401111111,1.79499759555556,0.0718590033333333,0.0282662944444444
GSM2738691,1.93177277888889,1.33212165333333,0.260489906666667,1.92229774111111,0.693755285555556,1.01688189888889,-0.127544251111111,2.18070232777778,0.882602607777778,0.835191676666667,0.703625464444444,2.36711858888889,1.78054391,0.809406364444444,0.619945873333333
GSM2738693,1.91836293555556,0.997018997777778,0.136021824444444,1.98361802,0.731810576666667,1.24336927777778,0.395013811111111,2.63503582666667,1.24034035555556,0.642255083333333,2.01476786666667,2.74626376888889,2.02760170444444,0.62139915,0.373557065555556
GSM2738694,2.11440074777778,1.17508742888889,0.441305695555556,2.51106561444444,1.45258572888889,1.33200480555556,0.462541387777778,2.53353336,1.40005071111111,0.91233528,1.53201203333333,2.41081020555556,1.92444331,1.03415518777778,0.83237921
GSM2738696,2.60438567,1.44137446888889,0.0998311322222222,1.48871590888889,0.285565405555556,1.22892955666667,-0.0011863488888888,2.23669579111111,0.82915422,0.609538553333333,0.347431271111111,2.04894631666667,1.86415451444444,0.1028423,-0.0300912111111111
GSM2738697,2.18266201444444,1.23108316444444,0.74893743,1.41145549333333,0.226943946666667,1.13804280444444,0.129075365555556,2.38346279,1.10660226444444,0.900121443333333,0.391416605555556,1.42868673777778,1.87179187666667,-0.0169769844444445,-0.1392754
GSM2738698,1.94138952,1.11599173888889,0.114741554444444,1.23942909,0.246292277777778,0.890105622222222,0.759802715555556,2.27783748888889,0.992859687777778,1.12557278888889,0.935880823333333,2.01719912777778,1.64187196111111,-0.100336966666667,-0.291887653333333
GSM2738699,2.15285783222222,1.08729824666667,0.431367888888889,2.44415139666667,0.996938827777778,1.37465597222222,0.257496163333333,2.39315183555556,0.974315425555556,0.609195407777778,2.61653991111111,2.40469321666667,1.98174428222222,0.584781303333333,0.194314664444444
GSM2738700,2.28422101888889,2.01155615555556,0.207340201111111,1.13122236555556,0.0098646822222222,0.448247694444444,0.671857434444444,2.22560969777778,0.93432203,0.291369562222222,0.14017915,0.79066698,1.89901860777778,0.213171863333333,-0.126829892222222
GSM2738702,2.05367997777778,0.883940512222222,0.773258136666667,2.41178391222222,0.853367315555556,0.954406586666667,0.206765652222222,2.05001185333333,0.808268144444445,0.302900542222222,2.11831446555556,2.62972008777778,2.14603172222222,0.37864001,0.0355273988888889
GSM2738703,2.18216427111111,1.36647610777778,0.373682997777778,2.14822623222222,1.05979107444444,1.19765590888889,0.210128756666667,2.35858689333333,1.26654566,0.929585827777778,0.970077427777778,2.71099769444444,1.94008979666667,1.07668405333333,0.52429674
GSM2738705,2.27809815222222,1.06981952222222,0.137662521111111,2.19910338111111,1.22304890777778,1.47414859777778,0.404006418888889,2.56160010333333,1.10030030666667,0.642588672222222,1.02691225555556,1.99143896,1.82385006222222,0.139749328888889,-0.0015586677777777
GSM2738706,2.12428940777778,1.13240997666667,0.600820261111111,1.26666368333333,0.290046038888889,1.00099369111111,0.262615924444444,2.45081957,1.23214687,0.592227515555556,2.35135583555556,2.08644986555556,1.85477723444444,0.510031232222222,0.505557104444444
GSM2738707,2.11180429555556,1.39796475333333,0.444009865555556,1.41972127222222,0.274162694444444,0.887386663333333,-0.128214292222222,2.25495188888889,0.941375564444444,0.665879213333333,0.224635658888889,1.47802559111111,1.74915182555556,0.0181367488888889,-0.157435416666667
GSM2738708,2.55572454333333,1.34108105222222,1.34503395777778,1.10634481444444,0.15504876,1.32374550666667,-0.113281375555556,2.10950935333333,0.727279317777778,0.724430187777778,0.177972808888889,1.52633430777778,2.01009842777778,0.137433056666667,-0.0875557233333333
